airfoil,thickness,thickness_loc,camber,camber_loc,le_radius,te_angle,avg_LD,peak_LD,peak_AoA
goe629.dat,0.136513,0.279279,0.028012,0.44044,0.038448,,75.9932,94.0375,5.0
e748.dat,0.197535,0.285285,0.045869,0.545546,0.042964,10.6841,81.3705,93.9319,8.0
dormoy.dat,0.090002,0.297297,0.045889,0.234234,0.014256,,73.9769,93.8577,5.0
e548.dat,0.17426,0.36036,0.022445,0.269269,0.033203,13.6016,63.0463,93.8418,9.0
goe223.dat,0.189005,0.302302,0.057307,0.535536,0.045931,,75.1765,93.7879,6.0
goe650.dat,0.135641,0.24024,0.044482,0.540541,0.041434,,77.3338,93.7805,4.0
goe288.dat,0.176006,0.25025,0.055945,0.438438,0.050975,,82.5488,93.7513,6.0
sc20706.dat,0.060009,0.366366,0.003808,0.764765,0.018257,1.0407,28.3677,93.6951,0.0
mh102.dat,0.170132,0.264264,0.030047,0.389389,0.040642,13.6349,74.5618,93.6823,8.0
goe654.dat,0.145516,0.271271,0.052278,0.367367,0.029455,,85.0303,93.6416,5.0
goe530.dat,0.129228,0.276276,0.051105,0.331331,0.045993,,76.0489,93.6104,5.0
goe613.dat,0.103005,0.304304,0.041163,0.361361,0.020872,,79.8753,93.605,4.0
naca747a415.dat,0.150093,0.386386,0.030469,0.361361,0.031421,,59.2502,93.5676,7.0
goe619.dat,0.138773,0.235235,0.045855,0.459459,0.043114,,79.8995,93.5147,4.0
s7012.dat,0.08758,0.288288,0.020209,0.363363,0.020859,5.6202,68.3973,93.4738,5.0
mb253515sm.dat,0.149583,0.352352,0.024315,0.376376,0.026344,,65.4188,93.364,6.0
ste87391.dat,0.145683,0.356356,0.044168,0.546547,0.032134,12.3537,72.0204,93.3395,2.0
goe434.dat,0.228974,0.265265,0.051808,0.497497,0.078364,,71.6764,93.2811,5.0
fg1.dat,0.081821,0.323323,0.040911,0.323323,0.019588,,74.4768,93.1171,3.0
nlf416.dat,0.159801,0.32032,0.024582,0.326326,0.035696,8.4208,74.118,93.0708,7.0
usa45m.dat,0.117487,0.256256,0.033425,0.272272,0.022829,,67.3623,93.051,8.0
defcnd1.dat,0.209248,0.291291,0.044699,0.375375,0.051039,18.6892,74.1611,93.0376,7.0
n1h15.dat,0.148532,0.448448,0.05542,0.437437,0.023958,,44.447,93.0283,7.0
usa29.dat,0.132987,0.268268,0.055641,0.415415,0.035599,,67.7668,93.0199,8.0
mh83.dat,0.133122,0.215215,0.051252,0.305305,0.038755,1.9848,80.6196,92.9808,8.0
rg15a213.dat,0.130023,0.313313,0.024997,0.394394,0.030255,13.2721,79.1158,92.9446,6.0
