Airfoil_Name,Camber,Camber_Location,Thickness,Thickness_Location,Reynolds_Number,Cl,Cd,peak_LD_2d,aoa_2d,peak_LD_3d,aoa_3d
fx75141,0.033898,0.533,0.14134,0.371,500000.0,0.5186,0.019481547990257683,111.44385026737967,5.0,26.620061211734356,0.0
dai1336,0.056759,0.435,0.136829,0.31,500000.0,0.5828,0.021899507267301152,127.0,7.0,26.612470905690063,0.0
naca633418,0.020317,0.533,0.179995,0.34,500000.0,0.458,0.01721528881946549,98.8898678414097,7.0,26.604258854032995,1.0
goe508,0.055049,0.4,0.165027,0.3,500000.0,0.6255,0.023511626181985837,104.25942156003505,6.0,26.60385951862599,1.0
goe681,0.041994,0.403,0.168448,0.292,500000.0,0.6211,0.023366221186913658,77.32478632478632,4.0,26.581105906326414,2.0
goe701,0.04742,0.401,0.124635,0.296,500000.0,0.5184,0.0195037812290348,108.1888035126235,4.0,26.579461383019957,0.0
naca633618,0.030517,0.55,0.180137,0.346,500000.0,0.5111,0.019232344734548757,106.73044925124792,7.0,26.575022809458382,0.0
oaf128,0.010426,0.437,0.127857,0.232,500000.0,0.4993,0.018795860070289792,73.75979112271541,6.0,26.564360350247163,3.0
e855,0.037627,0.506,0.157275,0.322,500000.0,0.523,0.01969317468917248,111.22807017543859,8.0,26.557424501370573,0.0
ames01,0.013933,0.15,0.10275,0.35,500000.0,0.46,0.01732404375488119,76.0267229254571,9.0,26.55269211441418,3.0
e557,0.036711,0.611,0.160276,0.302,500000.0,0.5923,0.02230755862011509,101.78001679261125,6.0,26.551538430830952,0.0
e793,0.040459,0.459,0.156452,0.267,500000.0,0.5434,0.020467844279475827,102.04163330664532,7.0,26.548961022968864,0.0
r1145ms,0.043709,0.481,0.187966,0.358,500000.0,0.6013,0.02264984239909635,98.82291666666667,4.0,26.54764608975777,1.0
goe692,0.048903,0.4,0.160995,0.3,500000.0,0.667,0.025140301994637702,107.90381125226861,6.0,26.531105320145628,1.0
sc20414,0.014904,0.83,0.14,0.36,500000.0,0.409,0.015434376008318904,57.330415754923415,7.0,26.49928962334175,1.0
goe430,0.048183,0.5,0.133867,0.295,500000.0,0.6556,0.024755671186129445,110.04629629629628,5.0,26.48282064625787,0.0
goe532,0.044557,0.399,0.12505,0.299,500000.0,0.5367,0.020266843855469983,100.0920245398773,4.0,26.481676368920443,0.0
mh26,0.015184,0.397,0.109902,0.423,500000.0,0.5473,0.020677138904435424,77.66590389016018,3.0,26.46884573970722,2.0
ah80140,0.043125,0.339,0.139632,0.309,500000.0,0.4646,0.017553317034354303,115.28510638297873,9.0,26.46793190658567,1.0
goe504,0.052731,0.402,0.180033,0.303,500000.0,0.5877,0.02220428967162031,90.74774774774775,4.0,26.46785862963901,1.0
